DOLNOŚLĄSKIE ,1,Legnica ,1 Okręg wyborczy,"Powiaty: bolesławiecki, głogowski, jaworski, jeleniogórski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski Miasta na prawach powiatu: Jelenia Góra, Legnica"
DOLNOŚLĄSKIE ,2,Wałbrzych ,2 Okręg wyborczy,"Powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki Miato na prawach powiatu: Wałbrzych"
DOLNOŚLĄSKIE ,3,Wrocław ,3 Okręg wyborczy,"Powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski Miasto na prawach powiatu: Wrocław"
KUJAWSKO-POMORSKIE ,4,Bydgoszcz ,4 Okręg wyborczy,"Powiaty: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński Miasto na prawach powiatu: Bydgoszcz"
KUJAWSKO-POMORSKIE ,5,Toruń ,5 Okręg wyborczy,"Powiaty: aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski Miasta na prawach powiatu: Grudziądz, Toruń, Włocławek"
LUBELSKIE ,6,Lublin ,6 Okręg wyborczy,"Powiaty: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki Miasto na prawach powiatu: Lublin"
LUBELSKIE ,7,Chełm ,7 Okręg wyborczy,"Powiaty: bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski, zamojski Miasta na prawach powiatu: Biała Podlaska, Chełm, Zamość"
LUBUSKIE ,8,Zielona Góra ,9 Okręg wyborczy,Województwo lubuskie
ŁÓDZKIE ,9,Łódź ,10 Okręg wyborczy,"Powiaty: brzeziński, łódzki wschodni Miasto na prawach powiatu: Łódź"
ŁÓDZKIE ,10,Piotrków Trybunalski ,11 Okręg wyborczy,"Powiaty: bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski Miasta na prawach powiatu: Piotrków Trybunalski, Skierniewice"
ŁÓDZKIE ,11,Sieradz ,11 Okręg wyborczy,"Powiaty: kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski"
MAŁOPOLSKIE ,12,Kraków ,12 Okręg wyborczy,"Powiaty: chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
MAŁOPOLSKIE ,13,Kraków ,13 Okręg wyborczy,"Powiaty: krakowski, miechowski , olkuski Miasto na prawach powiatu: Kraków"
MAŁOPOLSKIE ,14,Nowy Sącz ,14 Okręg wyborczy,"Powiaty: gorlicki, limanowski, nowosądecki, nowotarski, tatrzański Miasto na prawach powiatu: Nowy Sącz"
MAŁOPOLSKIE ,15,Tarnów ,15 Okręg wyborczy,"Powiaty: bocheński, brzeski, dąbrowski, proszowicki, tarnowski, wielicki Miasto na prawach powiatu: Tarnów"
